species,identifier,higher_taxon,common_name,highest_common_name
Calycopis cecrops,VTEC000000519_1484171945_lg,Papilionoidea,Papilionoid butterflies,butterflies
Calycopis cecrops,VTEC000000520_1484172058_lg,Papilionoidea,Papilionoid butterflies,butterflies
Calycopis cecrops,VTEC000000521_1484172086_lg,Papilionoidea,Papilionoid butterflies,butterflies
Calycopis cecrops,VTEC000000522_1484172141_lg,Papilionoidea,Papilionoid butterflies,butterflies
Calycopis cecrops,VTEC000000933_1487186464_lg,Papilionoidea,Papilionoid butterflies,butterflies
Cameraria ohridella,6e99da29-c84d-4084-8190-60d65a07b2af_image,Gracillarioidea,Cocoon-maker/leaf blotch miner moths,moths
Cameraria ohridella,b5aa7754-0aa1-4735-8ce9-5bb5035c04d0_image,Gracillarioidea,Cocoon-maker/leaf blotch miner moths,moths
Cameraria ohridella,BCamerariaohridella,Gracillarioidea,Cocoon-maker/leaf blotch miner moths,moths
Cameraria ohridella,M-0125199_20061005_151104,Gracillarioidea,Cocoon-maker/leaf blotch miner moths,moths
Canaea sp,10ANIC_03488%2B1287187054,Thyridoidea,Picture-winged leaf moths,moths
Catoptria falsella,00B43B5DE66491AB7EB3258A4AA50F66C52AB478AA26329D8FDC6C2CFC1E827A,Pyraloidea,Snout moths,moths
Catoptria falsella,13BE534B979C963A53A3AA3770017993421FD133ACEF0AF9DCB1C5F20E729FF5,Pyraloidea,Snout moths,moths
Catoptria falsella,15E2A4E716AE1AB41125153EA6FE355BCACC661549B1515D8EA54BC302095738,Pyraloidea,Snout moths,moths
Catoptria falsella,1624DF1FDB4F78C6C2507394EBDBF43D128985F0EBF02A5B6408C2750AD640E5,Pyraloidea,Snout moths,moths
Catoptria falsella,16EED0F476BEB16F8DEFB14895EBF80936B318847148B825930B3B6A174558A8,Pyraloidea,Snout moths,moths
Catoptria falsella,302173404FE9693CD6B45AE54A3738ADE59CE7EBA30A12EC422B8E6DBC892877,Pyraloidea,Snout moths,moths
Catoptria falsella,31F087C1516E9016C0208D9DF64B5A550274F5B2746D03F8B7A9C71BE3DEEB75,Pyraloidea,Snout moths,moths
Catoptria falsella,34D5AA58D61AD7C4AA860AF2E82FFDB4A4E4851DC069ABD2E7AEF14713DE8C08,Pyraloidea,Snout moths,moths
