species,identifier,higher_taxon,common_name,highest_common_name
Dendrolimus pini,6FAC67B7175BA5C5B8CD317065D13033D76EF137E9D2088D3B97B0599D9D250E,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,888AC26B947303988FCE3F8872EDA30295AFBF3EF3067A464524A4197DF6ED74,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,8AB25437945DA0563F8E92061781F99B795CEF483B6B58A0EC8014B4805777A9,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,B116E5F7FB169620E586336B46C77B4CCC76595A4C714F79D77843A4DCF24148,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,Dendrolimus pini_Preview001,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,E1D9A7EFB88CBCBD4EAFB4A3A250EB7E3DA17C1DA279C0A720C36D93121889F8,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,IMG_018977,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,IMG_018984,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,IMG_018997,Lasiocampoidea,Eggars/Tent moths,moths
Dichomeris punctidiscella,jflandry2359%2B1126530150,Gelechioidea,Curved-horn moths,moths
Doa sp,CCDB-20803-F03%2B1375991042,Drepanoidea,Hook-tip moths,moths
Dryadaula visaliella,MEM53261_Dryadaula_visaliella__1506631756_lg,Tineoidea,Clothes moths,moths
Dryadaula visaliella,MEM53265_Dryadaula_visaliella__1522770561_lg,Tineoidea,Clothes moths,moths
Dryadaula visaliella,MEM53267_Dryadaula_visaliella__1522770587_lg,Tineoidea,Clothes moths,moths
Dyseriocrania subpurpurella,13CCE0F476ED93208583B40150B891EE6198AD5DCDEBEFE146DEF41B17E133F4,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,17FD3618B4E08E53B6CF1992C52CF4F4E2FC2D0387FC2DC8112CFF9C974E1778,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,183098,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,441AA1EA72B9D7A8941000177D1349E5CD4BA40DF8D4D2CCC2A392E36E17C741,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,8B3BF27AAB5279F5A47D3B375073367FA92EF05BA2FFF68EF1D76E76AE0ABD78,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,9801e63f-3203-419a-b1ea-f4e950cc1df7_image,Eriocranioidea,Sparkling archaic sun moths,moths
Dyseriocrania subpurpurella,B16A119DAF411357B281CE596558C5C84F0153058AC73F992D7624A67C17EB2B,Eriocranioidea,Sparkling archaic sun moths,moths
